"","%IncMSE","IncNodePurity"
"socialEngagementType",0,0
"visitNumber",-4.683531141405,42695924059773845504
"visitStartTime",5.51659161708149,39665539617109467136
"campaign",-1.86882063704733,434467556288514944
"source",-0.59712111552763,9424832883528062976
"medium",1.31880487356839,10828402018886164480
"visits",0,0
"hits",2.66248499750985,57360104381767507968
"pageviews",2.37474537428894,57630222878165803008
"continent",-3.48805695528929,362767324325497280
"subContinent",-1.89505809557966,1309895897784052224
"country",-2.84057115357678,1884189722353351680
"region",-2.86715330204368,8867078049191583744
"metro",-0.0543807480353887,1.1225224594979e+19
"city",-3.44895273820476,17102766276799174656
"networkDomain",-0.918916449521605,2.5330730525822e+19
"browser",0.721687337562335,3238060801413550592
"operatingSystem",0.470919660725875,9199350991778106368
"isMobile",-0.292577570228722,346302276614330112
"deviceCategory",-1.37069431698936,502970621435123136
"Year",3.31599685669021,4837268834083203072
"Month",1.83169038130558,52899349257446203392
"Hour",-2.1659685649127,59761549833794224128
